record_id,date,item_id,amount_usd
REC-BAL-000001,2026-01-01,tien_mat_quy,576589.0
REC-BAL-000002,2026-01-01,tien_gui_vcb,453313.0
REC-BAL-000003,2026-01-01,tien_gui_tcb,496468.77672086423
REC-BAL-000004,2026-01-01,tuong_duong_tien,152897.57
REC-BAL-000005,2026-01-01,ck_kinh_doanh,251191.57
REC-BAL-000006,2026-01-01,dt_dao_han,149727.51
REC-BAL-000007,2026-01-01,phai_thu_kh_le,284790.0
REC-BAL-000008,2026-01-01,phai_thu_kh_dn,318526.20864180604
REC-BAL-000009,2026-01-01,phai_thu_ngan_han_khac,70192.5
REC-BAL-000010,2026-01-01,ton_kho_nvl,242107.0
REC-BAL-000011,2026-01-01,ton_kho_tp,366414.76540617016
REC-BAL-000012,2026-01-01,phai_thu_dh_kh,347401.61
REC-BAL-000013,2026-01-01,tscd_hh_nguyen_gia,3252078.61
REC-BAL-000014,2026-01-01,tscd_hh_hao_mon,-742916.4
REC-BAL-000015,2026-01-01,tra_ncc_go,295920.0
REC-BAL-000016,2026-01-01,tra_ncc_son,314777.0736117724
REC-BAL-000017,2026-01-01,nguoi_mua_tra_tien_truoc_nh,182964.16
REC-BAL-000018,2026-01-01,thue_phai_nop_nh,122129.17
REC-BAL-000019,2026-01-01,tra_nguoi_lao_dong,120956.25
REC-BAL-000020,2026-01-01,vay_ngan_han_vcb,433826.0
REC-BAL-000021,2026-01-01,vay_ngan_han_bidv,584590.3145207039
REC-BAL-000022,2026-01-01,tra_nguoi_ban_dh,499832.51
REC-BAL-000023,2026-01-01,cp_pho_thong,3237872.21
REC-BAL-000024,2026-01-01,thang_du_von,410400.88
REC-BAL-000025,2026-01-01,ln_chua_pp_luy_ke,201679.95
REC-BAL-000026,2026-01-01,ln_chua_pp_ky_nay,1896.8
REC-BAL-000027,2026-01-02,tien_mat_quy,483757.0
REC-BAL-000028,2026-01-02,tien_gui_vcb,597718.0
REC-BAL-000029,2026-01-02,tien_gui_tcb,459536.4294085859
REC-BAL-000030,2026-01-02,tuong_duong_tien,153195.53
REC-BAL-000031,2026-01-02,ck_kinh_doanh,254822.51
REC-BAL-000032,2026-01-02,dt_dao_han,154253.1
REC-BAL-000033,2026-01-02,phai_thu_kh_le,317136.0
REC-BAL-000034,2026-01-02,phai_thu_kh_dn,291134.7726235145
REC-BAL-000035,2026-01-02,phai_thu_ngan_han_khac,71267.04
REC-BAL-000036,2026-01-02,ton_kho_nvl,315575.0
REC-BAL-000037,2026-01-02,ton_kho_tp,297766.65354160545
REC-BAL-000038,2026-01-02,phai_thu_dh_kh,355001.96
REC-BAL-000039,2026-01-02,tscd_hh_nguyen_gia,3263562.11
REC-BAL-000040,2026-01-02,tscd_hh_hao_mon,-756634.84
REC-BAL-000041,2026-01-02,tra_ncc_go,275619.0
REC-BAL-000042,2026-01-02,tra_ncc_son,322398.93256917794
REC-BAL-000043,2026-01-02,nguoi_mua_tra_tien_truoc_nh,181100.96
REC-BAL-000044,2026-01-02,thue_phai_nop_nh,122099.36
REC-BAL-000045,2026-01-02,tra_nguoi_lao_dong,121974.37
REC-BAL-000046,2026-01-02,vay_ngan_han_vcb,508283.0
REC-BAL-000047,2026-01-02,vay_ngan_han_bidv,487941.190671189
REC-BAL-000048,2026-01-02,tra_nguoi_ban_dh,504572.52
REC-BAL-000049,2026-01-02,cp_pho_thong,3191841.64
REC-BAL-000050,2026-01-02,thang_du_von,404170.13
REC-BAL-000051,2026-01-02,ln_chua_pp_luy_ke,201687.93
REC-BAL-000052,2026-01-02,ln_chua_pp_ky_nay,3753.34
REC-BAL-000053,2026-01-03,tien_mat_quy,565761.0
REC-BAL-000054,2026-01-03,tien_gui_vcb,478566.0
REC-BAL-000055,2026-01-03,tien_gui_tcb,489775.5999038869
REC-BAL-000056,2026-01-03,tuong_duong_tien,155853.35
REC-BAL-000057,2026-01-03,ck_kinh_doanh,255629.06
REC-BAL-000058,2026-01-03,dt_dao_han,155456.35
REC-BAL-000059,2026-01-03,phai_thu_kh_le,246293.0
REC-BAL-000060,2026-01-03,phai_thu_kh_dn,350326.146795682
REC-BAL-000061,2026-01-03,phai_thu_ngan_han_khac,72352.71
REC-BAL-000062,2026-01-03,ton_kho_nvl,319783.0
REC-BAL-000063,2026-01-03,ton_kho_tp,311717.1373741409
REC-BAL-000064,2026-01-03,phai_thu_dh_kh,352703.7
REC-BAL-000065,2026-01-03,tscd_hh_nguyen_gia,3239453.03
REC-BAL-000066,2026-01-03,tscd_hh_hao_mon,-747666.89
REC-BAL-000067,2026-01-03,tra_ncc_go,270115.0
REC-BAL-000068,2026-01-03,tra_ncc_son,341873.3247224861
REC-BAL-000069,2026-01-03,nguoi_mua_tra_tien_truoc_nh,181078.81
REC-BAL-000070,2026-01-03,thue_phai_nop_nh,124282.11
REC-BAL-000071,2026-01-03,tra_nguoi_lao_dong,122608.48
REC-BAL-000072,2026-01-03,vay_ngan_han_vcb,601890.0
REC-BAL-000073,2026-01-03,vay_ngan_han_bidv,412981.74223515566
REC-BAL-000074,2026-01-03,tra_nguoi_ban_dh,518799.98
REC-BAL-000075,2026-01-03,cp_pho_thong,3269111.99
REC-BAL-000076,2026-01-03,thang_du_von,408746.15
REC-BAL-000077,2026-01-03,ln_chua_pp_luy_ke,202724.42
REC-BAL-000078,2026-01-03,ln_chua_pp_ky_nay,5726.34
REC-BAL-000079,2026-01-04,tien_mat_quy,543014.0
REC-BAL-000080,2026-01-04,tien_gui_vcb,528512.0
REC-BAL-000081,2026-01-04,tien_gui_tcb,487995.755820147
REC-BAL-000082,2026-01-04,tuong_duong_tien,158809.28
REC-BAL-000083,2026-01-04,ck_kinh_doanh,256585.6
REC-BAL-000084,2026-01-04,dt_dao_han,157301.65
REC-BAL-000085,2026-01-04,phai_thu_kh_le,411525.0
REC-BAL-000086,2026-01-04,phai_thu_kh_dn,185745.28871930647
REC-BAL-000087,2026-01-04,phai_thu_ngan_han_khac,72348.18
REC-BAL-000088,2026-01-04,ton_kho_nvl,312358.0
REC-BAL-000089,2026-01-04,ton_kho_tp,321851.4768012825
REC-BAL-000090,2026-01-04,phai_thu_dh_kh,352848.58
REC-BAL-000091,2026-01-04,tscd_hh_nguyen_gia,3233062.17
REC-BAL-000092,2026-01-04,tscd_hh_hao_mon,-763380.87
REC-BAL-000093,2026-01-04,tra_ncc_go,292726.0
REC-BAL-000094,2026-01-04,tra_ncc_son,321653.9515375111
REC-BAL-000095,2026-01-04,nguoi_mua_tra_tien_truoc_nh,186345.03
REC-BAL-000096,2026-01-04,thue_phai_nop_nh,127113.77
REC-BAL-000097,2026-01-04,tra_nguoi_lao_dong,123842.89
REC-BAL-000098,2026-01-04,vay_ngan_han_vcb,607834.0
REC-BAL-000099,2026-01-04,vay_ngan_han_bidv,411229.33777555753
REC-BAL-000100,2026-01-04,tra_nguoi_ban_dh,511296.97
REC-BAL-000101,2026-01-04,cp_pho_thong,3211764.82
REC-BAL-000102,2026-01-04,thang_du_von,423630.71
REC-BAL-000103,2026-01-04,ln_chua_pp_luy_ke,202651.58
REC-BAL-000104,2026-01-04,ln_chua_pp_ky_nay,7461.19
REC-BAL-000105,2026-01-05,tien_mat_quy,618423.0
REC-BAL-000106,2026-01-05,tien_gui_vcb,632779.0
REC-BAL-000107,2026-01-05,tien_gui_tcb,332207.346929566
REC-BAL-000108,2026-01-05,tuong_duong_tien,157419.77
REC-BAL-000109,2026-01-05,ck_kinh_doanh,255162.61
REC-BAL-000110,2026-01-05,dt_dao_han,161141.48
REC-BAL-000111,2026-01-05,phai_thu_kh_le,320910.0
REC-BAL-000112,2026-01-05,phai_thu_kh_dn,277724.4687930724
REC-BAL-000113,2026-01-05,phai_thu_ngan_han_khac,72299.6
REC-BAL-000114,2026-01-05,ton_kho_nvl,250122.0
REC-BAL-000115,2026-01-05,ton_kho_tp,395452.09589583916
REC-BAL-000116,2026-01-05,phai_thu_dh_kh,354148.18
REC-BAL-000117,2026-01-05,tscd_hh_nguyen_gia,3255284.65
REC-BAL-000118,2026-01-05,tscd_hh_hao_mon,-759511.49
REC-BAL-000119,2026-01-05,tra_ncc_go,240771.0
REC-BAL-000120,2026-01-05,tra_ncc_son,370006.6800853851
REC-BAL-000121,2026-01-05,nguoi_mua_tra_tien_truoc_nh,185766.7
REC-BAL-000122,2026-01-05,thue_phai_nop_nh,129190.35
REC-BAL-000123,2026-01-05,tra_nguoi_lao_dong,124559.85
REC-BAL-000124,2026-01-05,vay_ngan_han_vcb,407895.0
REC-BAL-000125,2026-01-05,vay_ngan_han_bidv,605960.1811235045
REC-BAL-000126,2026-01-05,tra_nguoi_ban_dh,521200.97
REC-BAL-000127,2026-01-05,cp_pho_thong,3243615.22
REC-BAL-000128,2026-01-05,thang_du_von,418039.92
REC-BAL-000129,2026-01-05,ln_chua_pp_luy_ke,201875.59
REC-BAL-000130,2026-01-05,ln_chua_pp_ky_nay,9433.6
REC-BAL-000131,2026-01-06,tien_mat_quy,475188.0
REC-BAL-000132,2026-01-06,tien_gui_vcb,560768.0
REC-BAL-000133,2026-01-06,tien_gui_tcb,546177.8508079029
REC-BAL-000134,2026-01-06,tuong_duong_tien,160308.83
REC-BAL-000135,2026-01-06,ck_kinh_doanh,261207.91
REC-BAL-000136,2026-01-06,dt_dao_han,162828.9
REC-BAL-000137,2026-01-06,phai_thu_kh_le,256942.0
REC-BAL-000138,2026-01-06,phai_thu_kh_dn,354931.2704368201
REC-BAL-000139,2026-01-06,phai_thu_ngan_han_khac,72231.27
REC-BAL-000140,2026-01-06,ton_kho_nvl,399705.0
REC-BAL-000141,2026-01-06,ton_kho_tp,254717.4848003859
REC-BAL-000142,2026-01-06,phai_thu_dh_kh,357544.07
REC-BAL-000143,2026-01-06,tscd_hh_nguyen_gia,3315168.74
REC-BAL-000144,2026-01-06,tscd_hh_hao_mon,-766150.7
REC-BAL-000145,2026-01-06,tra_ncc_go,214079.0
REC-BAL-000146,2026-01-06,tra_ncc_son,404584.03651682416
REC-BAL-000147,2026-01-06,nguoi_mua_tra_tien_truoc_nh,185240.5
REC-BAL-000148,2026-01-06,thue_phai_nop_nh,133128.57
REC-BAL-000149,2026-01-06,tra_nguoi_lao_dong,124536.54
REC-BAL-000150,2026-01-06,vay_ngan_han_vcb,637623.0
REC-BAL-000151,2026-01-06,vay_ngan_han_bidv,402964.9650512639
REC-BAL-000152,2026-01-06,tra_nguoi_ban_dh,517562.39
REC-BAL-000153,2026-01-06,cp_pho_thong,3234990.46
REC-BAL-000154,2026-01-06,thang_du_von,431775.08
